"Source:","/home/gaylybailey/Documents/HRG/sdr-df-bf/aps2021-sdc/aps2021-student-design-contest/hardware/phase_shifter/Phase Shifter Module/Phase Shifter Module.sch"
"Date:","Thu 03 Jun 2021 03:17:47 PM EDT"
"Tool:","Eeschema 5.1.6+dfsg1-1"
"Component Count:","23"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"5V1","Conn_01x01","Phase Shifter Module:TestPad_Medium","~","",""
"12V1","Conn_01x01","Phase Shifter Module:TestPad_Medium","~","",""
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C2","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"D1","PWR_LED","LED_SMD:LED_0805_2012Metric","~","",""
"GND1","Conn_01x01","Phase Shifter Module:TestPad_Medium","~","",""
"IC1","MCP4725A2T-E_CH","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","http://ww1.microchip.com/downloads/en/devicedoc/22039d.pdf","",""
"IC2","NCP1117ST50T3G","NCP1117ST50T3G:SOT230P700X180-4N","http://www.onsemi.com/pub/Collateral/NCP1117-D.PDF","",""
"IC3","LM741CN_NOPB","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lmc6081.pdf?ts=1620626007476&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DLMC6081IMX%252FNOPB","",""
"J1","Screw_Terminal_01x05","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-5_1x05_P2.54mm_Horizontal","~","",""
"J2","Amphenol Edge Connector","Amphenol Edge:Amphenol_132255_Edge","~","",""
"J3","Amphenol Edge Connector","Amphenol Edge:Amphenol_132255_Edge","~","",""
"J4","Barrel_Jack","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R2","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R3","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","~","",""
"R6","620","Resistor_SMD:R_0805_2012Metric","~","",""
"U1","JSPHS-661+","SamacSys_Parts:JSPHS661","https://www.minicircuits.com/pdfs/JSPHS-661+.pdf","",""
"U2","JSPHS-661+","SamacSys_Parts:JSPHS661","https://www.minicircuits.com/pdfs/JSPHS-661+.pdf","",""
"V_Bias1","Conn_01x01","Phase Shifter Module:TestPad_Medium","~","",""
"V_DAC1","Conn_01x01","Phase Shifter Module:TestPad_Medium","~","",""
